Remote Host,Logname,User,Time,Request,Status,Bytes Sent,Referer,User-Agent
152.58.223.145,-,-,[28/Jul/2024:17:02:50 +0000],"GET / HTTP/1.1",304,-,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:02:51 +0000],"GET /index.js HTTP/1.1",304,-,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:02:52 +0000],"GET /api/rules HTTP/1.1",304,-,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:02:52 +0000],"POST /botdetected/json HTTP/1.1",200,67,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
167.71.201.139,-,-,[28/Jul/2024:17:10:15 +0000],"GET /cdn-cgi/trace HTTP/1.1",404,196,"-","Mozilla/5.0"
167.71.201.139,-,-,[28/Jul/2024:17:10:59 +0000],"x16x03x01x01x07x01",400,226,"-","-"
152.58.223.145,-,-,[28/Jul/2024:17:12:45 +0000],"GET / HTTP/1.1",304,-,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:12:46 +0000],"GET /index.js HTTP/1.1",304,-,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:12:47 +0000],"GET /api/rules HTTP/1.1",304,-,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
152.58.223.145,-,-,[28/Jul/2024:17:12:47 +0000],"POST /botdetected/json HTTP/1.1",200,67,"https://botd.cs14research.in/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
43.129.169.161,-,-,[28/Jul/2024:17:23:57 +0000],"HEAD /Core/Skin/Login.aspx HTTP/1.1",404,-,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
